Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.318849, -10.190316
11.10697248729463, 0.280074, -9.09244
12.336483783351985, 0.29775, -8.249228
13.702098597164685, 0.279308, -7.344888
15.218883213690651, 0.282316, -6.44904
16.90357171418121, 0.322736, -5.773715
18.774750596642246, 0.328452, -5.091234
20.853063833272373, 0.316275, -4.772643
23.161440627195496, 0.313971, -4.055179
25.72534838123684, 0.329049, -3.592424
28.573073669646703, 0.360338, -3.430753
31.736034312620856, 0.379467, -2.897747
35.249125996611816, 0.387245, -2.548856
39.15110726455493, 0.401558, -2.461705
43.485027123453236, 0.441072, -2.145424
48.29869998694558, 0.451107, -2.142807
53.6452331927102, 0.474615, -2.066092
59.58361291459369, 0.488011, -2.028281
66.17935493360051, 0.464857, -2.003759
73.50522744744069, 0.484661, -1.965215
81.64205389310578, 0.46872, -2.095167
90.67960463969513, 0.452806, -2.157999
100.71758738918481, 0.453816, -2.233097
111.86674721183684, 0.436028, -2.50082
124.25008835250149, 0.387693, -2.553669
138.0042312875161, 0.376895, -2.634789
153.2809200040686, 0.351312, -2.852583
170.2486961312397, 0.302678, -3.061927
189.09475839274631, 0.256497, -2.982219
210.02702789598587, 0.213494, -3.154141
233.27644204289766, 0.173782, -3.31367
259.09950237044444, 0.125403, -3.593139
287.7811044300256, 0.043204, -3.438458
319.6376809267557, -0.039174, -3.27988
355.0206927956135, -0.090467, -3.49779
394.3205067301158, -0.159765, -3.506989
437.9707019427473, -0.222538, -3.331517
486.4528536719211, -0.275572, -3.271039
540.3018462099988, -0.338277, -3.059862
600.1117740688951, -0.388135, -2.850564
666.5424963884789, -0.451859, -2.610594
740.3269168999514, -0.511927, -2.249371
822.2790697611417, -0.536926, -2.029831
913.3031004715224, -0.551633, -1.596934
1014.4032409498082, -0.599229, -1.241594
1126.6948888252023, -0.619742, -0.806046
1251.4169131757003, -0.655243, -0.380209
1389.9453224777676, -0.659342, 0.110801
1543.8084455604426, -0.620074, 0.38153
1714.7037930492927, -0.606328, 0.642674
1904.5167853258238, -0.611192, 1.002631
2115.341553620474, -0.550914, 1.341049
2349.504043729368, -0.555818, 1.792321
2609.5876772489564, -0.489942, 2.118866
2898.4618534387228, -0.425392, 2.136191
3219.3136061616897, -0.405323, 2.254646
3575.6827651611143, -0.375049, 2.555954
3971.5010095938082, -0.329506, 2.68567
4411.135244682127, -0.244101, 2.483512
4899.435780042005, -0.225534, 2.53138
5441.789841219344, -0.186813, 2.506523
6044.181004806267, -0.115977, 2.517257
6713.255212861202, -0.130769, 2.202028
7456.394094943663, -0.07779, 2.278912
8281.79640669654, -0.087986, 2.04833
9198.5684834554, -0.021238, 2.053647
10216.82470682345, -0.065046, 1.867922
11347.799092620007, -0.016486, 1.924727
12603.96923130774, -0.05958, 1.992579
13999.19394828431, -0.007915, 1.779965
15548.866202789532, -0.072113, 2.359781
17270.082912300863, -0.027037, 2.255495
19181.83357602228, -0.086411, 2.374612
21305.209778474382, -0.05547, 2.532638
23663.637884555545, -0.084108, 2.996006
26283.137493306134, -0.041205, 3.023879
29192.60850179332, -0.018837, 3.353155
32424.149946178168, -0.018974, 3.564224
36013.41413761165, -0.069672, 3.929474
40000.000000000015, -0.078606, 4.133883
